sample	sex_karyotype
S31M300	XY
S31M350	XY
S31M400	uncertain
S31M450	XY
S31M1000	XY
S31M5000	XY
S31M10000	XY
S31M100000	XY
S31M1000000	XY
S32F150	uncertain
S32F200	XX
S32F250	uncertain
S32F300	XX
S32F350	XX
S32F400	XX
S32F450	XX
S32F1000	XX
S32F5000	XX
S32F10000	XX
S32F100000	XX
S32F1000000	XX
S32M150	uncertain
S32M200	XY
S32M250	uncertain
S32M300	XY
S32M350	uncertain
S32M400	uncertain
S32M450	XY
S32M1000	XY
S32M5000	XY
S32M10000	XY
S32M100000	XY
S32M1000000	XY
S33F150	uncertain
S33F200	XX
S33F250	XX
S33F300	uncertain
S33F350	XX
S33F400	XX
S33F450	XX
S33F1000	XX
S33F5000	XX
S33F10000	XX
S33F100000	XX
S33F1000000	XX
S33M150	XY
S33M200	uncertain
S33M250	XY
S33M300	XY
S33M350	uncertain
S33M400	XY
S33M450	XY
S33M1000	XY
S33M5000	XY
S33M10000	XY
S33M100000	XY
S33M1000000	XY
S34F150	uncertain
S34F200	uncertain
S34F250	uncertain
S34F300	XX
S34F350	XX
S34F400	uncertain
S34F450	XX
S34F1000	XX
S34F5000	XX
S34F10000	XX
S34F100000	XX
S34F1000000	XX
S34M150	uncertain
S34M200	uncertain
S34M250	XY
S34M300	XY
S34M350	XY
S34M400	uncertain
S34M450	XY
S34M1000	XY
S34M5000	XY
S34M10000	XY
S34M100000	XY
S34M1000000	XY
S35F150	uncertain
S35F200	XX
S35F250	XX
S35F300	XX
S35F350	XX
S35F400	XX
S35F450	XX
S35F1000	XX
S35F5000	XX
S35F10000	XX
S35F100000	XX
S35F1000000	XX
S35M150	XY
S35M200	uncertain
S35M250	uncertain
S35M300	XY
S35M350	XY
S35M400	XY
S35M450	XY
S35M1000	XY
S35M5000	XY
S35M10000	XY
S35M100000	XY
S35M1000000	XY
S36F150	uncertain
S36F200	uncertain
S36F250	XX
S36F300	XX
S36F350	XX
S36F400	XX
S36F450	XX
S36F1000	XX
