sample	sex_karyotype
E_S14F10000_hf0.01	XX
E_S14F10000_hf0.10	XX
E_S14F10000_hf0.50	XX
E_S14F10000_hf0.95	XX
E_S14F10000_hf1	XX
E_S14F1000_hf0.001	XX
E_S14F1000_hf0.01	XX
E_S14F1000_hf0.10	XX
E_S14F1000_hf0.50	XX
E_S14F1000_hf0.95	XX
E_S14F1000_hf1	XX
E_S14F150_hf0.001	XX
E_S14F150_hf0.01	XX
E_S14F150_hf0.10	XX
E_S14F150_hf0.50	XX
E_S14F150_hf0.95	XX
E_S14F150_hf1	XX
E_S14F250_hf0.001	XX
E_S14F250_hf0.01	XX
E_S14F250_hf0.10	XX
E_S14F250_hf0.50	XX
E_S14F250_hf0.95	XX
E_S14F250_hf1	XX
E_S14F350_hf0.001	XX
E_S14F350_hf0.01	XX
E_S14F350_hf0.10	XX
E_S14F350_hf0.50	XX
E_S14F350_hf0.95	XX
E_S14F350_hf1	XX
E_S14F450_hf0.001	uncertain
E_S14F450_hf0.01	uncertain
E_S14F450_hf0.10	uncertain
E_S14F450_hf0.50	uncertain
E_S14F450_hf0.95	uncertain
E_S14F450_hf1	uncertain
E_S14M10000_hf0.001	XY
E_S14M10000_hf0.01	XY
E_S14M10000_hf0.10	XY
E_S14M10000_hf0.50	XY
E_S14M10000_hf0.95	XY
E_S14M10000_hf1	XY
E_S14M1000_hf0.001	XY
E_S14M1000_hf0.01	XY
E_S14M1000_hf0.10	XY
E_S14M1000_hf0.50	XY
E_S14M1000_hf0.95	XY
E_S14M1000_hf1	XY
E_S14M150_hf0.001	uncertain
E_S14M150_hf0.01	uncertain
E_S14M150_hf0.10	uncertain
E_S14M150_hf0.50	uncertain
E_S14M150_hf0.95	uncertain
E_S14M150_hf1	uncertain
E_S14M250_hf0.001	uncertain
E_S14M250_hf0.01	uncertain
E_S14M250_hf0.10	uncertain
E_S14M250_hf0.50	uncertain
E_S14M250_hf0.95	uncertain
E_S14M250_hf1	uncertain
E_S14M350_hf0.001	XY
E_S14M350_hf0.01	XY
E_S14M350_hf0.10	XY
E_S14M350_hf0.50	XY
E_S14M350_hf0.95	XY
E_S14M350_hf1	XY
E_S14M450_hf0.001	XY
E_S14M450_hf0.01	XY
E_S14M450_hf0.10	XY
E_S14M450_hf0.50	XY
E_S14M450_hf0.95	XY
E_S14M450_hf1	XY
E_S15F10000_hf0.001	XX
E_S15F10000_hf0.01	XX
E_S15F10000_hf0.10	XX
E_S15F10000_hf0.50	XX
E_S15F10000_hf0.95	XX
E_S15F10000_hf1	XX
E_S15F1000_hf0.001	XX
E_S15F1000_hf0.01	XX
E_S15F1000_hf0.10	XX
E_S15F1000_hf0.50	XX
E_S15F1000_hf0.95	XX
E_S15F1000_hf1	XX
E_S15F150_hf0.001	uncertain
E_S15F150_hf0.01	uncertain
E_S15F150_hf0.10	uncertain
E_S15F150_hf0.50	uncertain
E_S15F150_hf0.95	uncertain
E_S15F150_hf1	uncertain
E_S15F250_hf0.001	uncertain
E_S15F250_hf0.01	uncertain
E_S15F250_hf0.10	uncertain
E_S15F250_hf0.50	uncertain
E_S15F250_hf0.95	uncertain
E_S15F250_hf1	uncertain
E_S15F350_hf0.001	XX
E_S15F350_hf0.01	XX
E_S15F350_hf0.10	XX
E_S15F350_hf0.50	XX
E_S15F350_hf0.95	XX
E_S15F350_hf1	XX
E_S15F450_hf0.001	XX
E_S15F450_hf0.01	XX
E_S15F450_hf0.10	XX
E_S15F450_hf0.50	XX
E_S15F450_hf0.95	XX
E_S15F450_hf1	XX
E_S15M10000_hf0.001	XY
E_S15M10000_hf0.01	XY
E_S15M10000_hf0.10	XY
E_S15M10000_hf0.50	XY
E_S15M10000_hf0.95	XY
E_S15M10000_hf1	XY
E_S15M1000_hf0.001	XY
E_S15M1000_hf0.01	XY
E_S15M1000_hf0.10	XY
E_S15M1000_hf0.50	XY
E_S15M1000_hf0.95	XY
E_S15M1000_hf1	XY
E_S15M150_hf0.001	XX
E_S15M150_hf0.01	XX
E_S15M150_hf0.10	XX
E_S15M150_hf0.50	XX
E_S15M150_hf0.95	XX
E_S15M150_hf1	XX
E_S15M250_hf0.001	XY
E_S15M250_hf0.01	XY
E_S15M250_hf0.10	XY
E_S15M250_hf0.50	XY
E_S15M250_hf0.95	XY
E_S15M250_hf1	XY
E_S15M350_hf0.001	XY
E_S15M350_hf0.01	XY
E_S15M350_hf0.10	XY
E_S15M350_hf0.50	XY
E_S15M350_hf0.95	XY
E_S15M350_hf1	XY
E_S15M450_hf0.001	XY
E_S15M450_hf0.01	XY
E_S15M450_hf0.10	XY
E_S15M450_hf0.50	XY
E_S15M450_hf0.95	XY
E_S15M450_hf1	XY
E_S16F10000_hf0.001	XX
E_S16F10000_hf0.01	XX
E_S16F10000_hf0.10	XX
E_S16F10000_hf0.50	XX
E_S16F10000_hf0.95	XX
E_S16F10000_hf1	XX
E_S16F1000_hf0.001	XX
E_S16F1000_hf0.01	XX
E_S16F1000_hf0.10	XX
E_S16F1000_hf0.50	XX
E_S16F1000_hf0.95	XX
E_S16F1000_hf1	XX
E_S16F150_hf0.001	uncertain
E_S16F150_hf0.01	uncertain
E_S16F150_hf0.10	uncertain
E_S16F150_hf0.50	uncertain
E_S16F150_hf0.95	uncertain
E_S16F150_hf1	uncertain
E_S16F250_hf0.001	XX
E_S16F250_hf0.01	XX
E_S16F250_hf0.10	XX
E_S16F250_hf0.50	XX
E_S16F250_hf0.95	XX
E_S16F250_hf1	XX
E_S16F350_hf0.001	XX
E_S16F350_hf0.01	XX
E_S16F350_hf0.10	XX
E_S16F350_hf0.50	XX
E_S16F350_hf0.95	XX
E_S16F350_hf1	XX
E_S16F450_hf0.001	XX
E_S16F450_hf0.01	XX
E_S16F450_hf0.10	XX
E_S16F450_hf0.50	XX
E_S16F450_hf0.95	XX
E_S16F450_hf1	XX
E_S16M10000_hf0.001	XY
E_S16M10000_hf0.01	XY
E_S16M10000_hf0.10	XY
E_S16M10000_hf0.50	XY
E_S16M10000_hf0.95	XY
E_S16M10000_hf1	XY
E_S16M1000_hf0.001	XY
E_S16M1000_hf0.01	XY
E_S16M1000_hf0.10	XY
E_S16M1000_hf0.50	XY
E_S16M1000_hf0.95	XY
E_S16M1000_hf1	XY
E_S16M150_hf0.001	XY
E_S16M150_hf0.01	XY
E_S16M150_hf0.10	XY
E_S16M150_hf0.50	XY
E_S16M150_hf0.95	XY
E_S16M150_hf1	XY
E_S16M250_hf0.001	XY
E_S16M250_hf0.01	XY
E_S16M250_hf0.10	XY
E_S16M250_hf0.50	XY
E_S16M250_hf0.95	XY
E_S16M250_hf1	XY
E_S16M350_hf0.001	XY
E_S16M350_hf0.01	XY
E_S16M350_hf0.10	XY
E_S16M350_hf0.50	XY
E_S16M350_hf0.95	XY
E_S16M350_hf1	XY
E_S16M450_hf0.001	XY
E_S16M450_hf0.01	XY
E_S16M450_hf0.10	XY
E_S16M450_hf0.50	XY
E_S16M450_hf0.95	XY
E_S16M450_hf1	XY
E_S17F10000_hf0.001	XX
E_S17F10000_hf0.01	XX
E_S17F10000_hf0.10	XX
E_S17F10000_hf0.50	XX
E_S17F10000_hf0.95	XX
E_S17F10000_hf1	XX
E_S17F1000_hf0.001	XX
E_S17F1000_hf0.01	XX
E_S17F1000_hf0.10	XX
E_S17F1000_hf0.50	XX
E_S17F1000_hf0.95	XX
E_S17F1000_hf1	XX
E_S17F150_hf0.001	uncertain
E_S17F150_hf0.01	uncertain
E_S17F150_hf0.10	uncertain
E_S17F150_hf0.50	uncertain
E_S17F150_hf0.95	uncertain
E_S17F150_hf1	uncertain
E_S17F250_hf0.001	XX
E_S17F250_hf0.01	XX
E_S17F250_hf0.10	XX
E_S17F250_hf0.50	XX
E_S17F250_hf0.95	XX
E_S17F250_hf1	XX
E_S17F350_hf0.001	XX
E_S17F350_hf0.01	XX
E_S17F350_hf0.10	XX
E_S17F350_hf0.50	XX
E_S17F350_hf0.95	XX
E_S17F350_hf1	XX
E_S17F450_hf0.001	XX
E_S17F450_hf0.01	XX
E_S17F450_hf0.10	XX
E_S17F450_hf0.50	XX
E_S17F450_hf0.95	XX
E_S17F450_hf1	XX
E_S17M10000_hf0.001	XY
E_S17M10000_hf0.01	XY
E_S17M10000_hf0.10	XY
E_S17M10000_hf0.50	XY
E_S17M10000_hf0.95	XY
E_S17M10000_hf1	XY
E_S17M1000_hf0.001	XY
E_S17M1000_hf0.01	XY
E_S17M1000_hf0.10	XY
E_S17M1000_hf0.50	XY
E_S17M1000_hf0.95	XY
E_S17M1000_hf1	XY
E_S17M150_hf0.001	uncertain
E_S17M150_hf0.01	uncertain
E_S17M150_hf0.10	uncertain
E_S17M150_hf0.50	uncertain
E_S17M150_hf0.95	uncertain
E_S17M150_hf1	uncertain
E_S17M250_hf0.001	XY
E_S17M250_hf0.01	XY
E_S17M250_hf0.10	XY
E_S17M250_hf0.50	XY
E_S17M250_hf0.95	XY
E_S17M250_hf1	XY
E_S17M350_hf0.001	uncertain
E_S17M350_hf0.01	uncertain
E_S17M350_hf0.10	uncertain
E_S17M350_hf0.50	uncertain
E_S17M350_hf0.95	uncertain
E_S17M350_hf1	uncertain
E_S17M450_hf0.001	uncertain
E_S17M450_hf0.01	uncertain
E_S17M450_hf0.10	uncertain
E_S17M450_hf0.50	uncertain
E_S17M450_hf0.95	uncertain
E_S17M450_hf1	uncertain
E_S18F10000_hf0.001	XX
E_S18F10000_hf0.01	XX
E_S18F10000_hf0.10	XX
E_S18F10000_hf0.50	XX
E_S18F10000_hf0.95	XX
E_S18F10000_hf1	XX
E_S18F1000_hf0.001	XX
E_S18F1000_hf0.01	XX
E_S18F1000_hf0.10	XX
E_S18F1000_hf0.50	XX
E_S18F1000_hf0.95	XX
E_S18F1000_hf1	XX
E_S18F150_hf0.001	XX
E_S18F150_hf0.01	XX
E_S18F150_hf0.10	XX
E_S18F150_hf0.50	XX
E_S18F150_hf0.95	XX
E_S18F150_hf1	XX
E_S18F250_hf0.001	XX
E_S18F250_hf0.01	XX
E_S18F250_hf0.10	XX
E_S18F250_hf0.50	XX
E_S18F250_hf0.95	XX
E_S18F250_hf1	XX
E_S18F350_hf0.001	XX
E_S18F350_hf0.01	XX
E_S18F350_hf0.10	XX
E_S18F350_hf0.50	XX
E_S18F350_hf0.95	XX
E_S18F350_hf1	XX
