Run	actual_sex
S45F10000	female
S45F100000	female
S45F1000000	female
S45M150	male
S45M200	male
S45M250	male
S45M300	male
S45M350	male
S45M400	male
S45M450	male
S45M1000	male
S45M5000	male
S45M10000	male
S45M100000	male
S45M1000000	male
S46F150	female
S46F200	female
S46F250	female
S46F300	female
S46F350	female
S46F400	female
S46F450	female
S46F1000	female
S46F5000	female
S46F10000	female
S46F100000	female
S46F1000000	female
S46M150	male
S46M200	male
S46M250	male
S46M300	male
S46M350	male
S46M400	male
S46M450	male
S46M1000	male
S46M5000	male
S46M10000	male
S46M100000	male
S46M1000000	male
S47F150	female
S47F200	female
S47F250	female
S47F300	female
S47F350	female
S47F400	female
S47F450	female
S47F1000	female
S47F5000	female
S47F10000	female
S47F100000	female
S47F1000000	female
S47M150	male
S47M200	male
S47M250	male
S47M300	male
S47M350	male
S47M400	male
S47M450	male
S47M1000	male
S47M5000	male
S47M10000	male
S47M100000	male
S47M1000000	male
S48F150	female
S48F200	female
S48F250	female
S48F300	female
S48F350	female
S48F400	female
S48F450	female
S48F1000	female
S48F5000	female
S48F10000	female
S48F100000	female
S48F1000000	female
S48M150	male
S48M200	male
S48M250	male
S48M300	male
S48M350	male
S48M400	male
S48M450	male
S48M1000	male
S48M5000	male
S48M10000	male
S48M100000	male
S48M1000000	male
S49F150	female
S49F200	female
S49F250	female
S49F300	female
S49F350	female
S49F400	female
S49F450	female
S49F1000	female
S49F5000	female
S49F10000	female
S49F100000	female
S49F1000000	female
S49M150	male
S49M200	male
S49M250	male
S49M300	male
S49M350	male
S49M400	male
S49M450	male
S49M1000	male
S49M5000	male
S49M10000	male
S49M100000	male
S49M1000000	male
S50F150	female
S50F200	female
S50F250	female
S50F300	female
S50F350	female
S50F400	female
S50F450	female
S50F1000	female
S50F5000	female
S50F10000	female
S50F100000	female
S50F1000000	female
S50M150	male
S50M200	male
S50M250	male
S50M300	male
S50M350	male
S50M400	male
S50M450	male
S50M1000	male
S50M5000	male
S50M10000	male
S50M100000	male
S50M1000000	male
S51F150	female
S51F200	female
S51F250	female
S51F300	female
S51F350	female
S51F400	female
S51F450	female
S51F1000	female
S51F5000	female
S51F10000	female
S51F100000	female
S51F1000000	female
S51M150	male
S51M200	male
S51M250	male
S51M300	male
S51M350	male
S51M400	male
S51M450	male
S51M1000	male
S51M5000	male
S51M10000	male
S51M100000	male
S51M1000000	male
S52F150	female
S52F200	female
S52F250	female
S52F300	female
S52F350	female
S52F400	female
S52F450	female
S52F1000	female
S52F5000	female
S52F10000	female
S52F100000	female
S52F1000000	female
S52M150	male
S52M200	male
S52M250	male
S52M300	male
S52M350	male
S52M400	male
S52M450	male
S52M1000	male
S52M5000	male
S52M10000	male
S52M100000	male
S52M1000000	male
S53F150	female
S53F200	female
S53F250	female
S53F300	female
S53F350	female
S53F400	female
S53F450	female
S53F1000	female
S53F5000	female
S53F10000	female
S53F100000	female
S53F1000000	female
S53M150	male
S53M200	male
S53M250	male
S53M300	male
S53M350	male
S53M400	male
S53M450	male
S53M1000	male
S53M5000	male
S53M10000	male
S53M100000	male
S53M1000000	male
S54F150	female
S54F200	female
S54F250	female
S54F300	female
S54F350	female
S54F400	female
S54F450	female
S54F1000	female
S54F5000	female
